variant,seed,best_epoch,trainable_parameters,test_accuracy,test_balanced_accuracy,test_macro_f1,mean_session_macro_f1,target_trial_accuracy,correct_target_trials,target_trial_count,emg_weight_REST,emg_weight_WRIST_UP,emg_weight_WRIST_DOWN,emg_weight_FOREARM_IN,emg_weight_FOREARM_OUT,emg_weight_ARM_UP,emg_weight_ARM_DOWN,emg_weight_FIST
emg_only,20260821,3,59080,0.8616071428571429,0.8850446428571428,0.867483370655602,0.8706883570657734,0.9107142857142857,51,56,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
emg_only,20260822,14,59080,0.8668831168831169,0.8914620535714285,0.872409747134032,0.8745281178664911,0.9285714285714286,52,56,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
emg_only,20260823,12,59080,0.8206168831168831,0.8404017857142857,0.8200313494425957,0.8217805721518674,0.9107142857142857,51,56,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
imu_only,20260821,45,21416,0.9586038961038961,0.9434988839285714,0.9503258546369008,0.9494133109355531,0.9821428571428571,55,56,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
imu_only,20260822,35,21416,0.9512987012987013,0.9380580357142857,0.9410742070642683,0.940568722971528,0.9821428571428571,55,56,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
imu_only,20260823,24,21416,0.9423701298701299,0.9261997767857143,0.9311919790860252,0.9309860089610369,0.9821428571428571,55,56,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
fixed_50_50,20260821,8,80496,0.9939123376623377,0.9916294642857143,0.9924561306730015,0.9924129950190597,1.0,56,56,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
fixed_50_50,20260822,2,80496,0.997564935064935,0.9966517857142857,0.9976833243988196,0.9976568330752654,1.0,56,56,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
fixed_50_50,20260823,4,80496,0.9987824675324676,0.9983258928571428,0.9989483897217615,0.998932036859985,1.0,56,56,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
learned_neutral,20260821,25,80504,0.9943181818181818,0.9921875,0.9928091518247926,0.9927855450536589,1.0,56,56,0.5283550024032593,0.5599140524864197,0.5590434670448303,0.5023243427276611,0.454402893781662,0.4447537064552307,0.470944881439209,0.5464097857475281
learned_neutral,20260822,2,80504,0.997564935064935,0.9966517857142857,0.9976833243988196,0.9976568330752654,1.0,56,56,0.5235827565193176,0.521975576877594,0.5248644948005676,0.4826105833053589,0.4815158545970917,0.4786216914653778,0.48157086968421936,0.5193051099777222
learned_neutral,20260823,4,80504,0.9987824675324676,0.9983258928571428,0.9989483897217615,0.998932036859985,1.0,56,56,0.5277742743492126,0.5308160185813904,0.5329588651657104,0.48382890224456787,0.4739466905593872,0.4703991413116455,0.4770565927028656,0.5245765447616577
learned_physics,20260821,8,80504,0.9967532467532467,0.9955357142857143,0.9963633345802054,0.9963345586594958,1.0,56,56,0.5196486711502075,0.7288545370101929,0.721860408782959,0.29393187165260315,0.2752220034599304,0.17868442833423615,0.18971025943756104,0.8152748942375183
learned_physics,20260822,5,80504,0.9971590909090909,0.99609375,0.996921412527102,0.9968926438506085,1.0,56,56,0.5281407833099365,0.7249607443809509,0.7213249802589417,0.2880692183971405,0.2777933180332184,0.1811862289905548,0.18763893842697144,0.8128494024276733
learned_physics,20260823,9,80504,0.9971590909090909,0.99609375,0.9967161851691695,0.9966989243007854,1.0,56,56,0.5345284342765808,0.7320773601531982,0.7241459488868713,0.29431211948394775,0.2750105857849121,0.17758996784687042,0.186818927526474,0.8120471835136414
